technology,genotype,tissue,sex,timepoint,rep,sample,depth1,depth2,sublibrary,sublibrary_sample,run_number,rna_experiment_accession,rna_library_accession,rna_file_accession,lower_nCount_RNA,upper_nCount_RNA,lower_nFeature_RNA,upper_doublet_scores,upper_percent.mt
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12B,12B_A_10_F_1,1005,ENCSR111SCI,ENCLB622VMZ,ENCFF620HBK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12C,12C_A_10_F_1,1005,ENCSR111SCI,ENCLB723AAQ,ENCFF581IRJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12D,12D_A_10_F_1,1005,ENCSR111SCI,ENCLB089NEV,ENCFF675XLH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12E,12E_A_10_F_1,1005,ENCSR111SCI,ENCLB737LHM,ENCFF461TBG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12F,12F_A_10_F_1,1005,ENCSR111SCI,ENCLB279QLV,ENCFF088MOC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12A,12A_A_10_F_2,1005,ENCSR111SCI,ENCLB612GEP,ENCFF176SEX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12B,12B_A_10_F_2,1005,ENCSR111SCI,ENCLB366QTP,ENCFF489TRF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12C,12C_A_10_F_2,1005,ENCSR111SCI,ENCLB728LXG,ENCFF828OHW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12D,12D_A_10_F_2,1005,ENCSR111SCI,ENCLB191VNP,ENCFF836EBV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12E,12E_A_10_F_2,1005,ENCSR111SCI,ENCLB529MKV,ENCFF140LSF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,standard,12k,12F,12F_A_10_F_2,1005,ENCSR111SCI,ENCLB364QKF,ENCFF601MPP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12A,12A_A_10_M_1,1005,ENCSR662TPD,ENCLB532CDD,ENCFF003TUL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12B,12B_A_10_M_1,1005,ENCSR662TPD,ENCLB215POH,ENCFF218NZH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12C,12C_A_10_M_1,1005,ENCSR662TPD,ENCLB274SAF,ENCFF805IVJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12D,12D_A_10_M_1,1005,ENCSR662TPD,ENCLB684GRO,ENCFF236QWV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12E,12E_A_10_M_1,1005,ENCSR662TPD,ENCLB074WDC,ENCFF983MTP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,standard,12k,12F,12F_A_10_M_1,1005,ENCSR662TPD,ENCLB580TIV,ENCFF734RYQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12A,12A_A_10_M_2,1005,ENCSR662TPD,ENCLB770UMN,ENCFF627EIQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12B,12B_A_10_M_2,1005,ENCSR662TPD,ENCLB798EER,ENCFF541CWX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12C,12C_A_10_M_2,1005,ENCSR662TPD,ENCLB786AIU,ENCFF831OQA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12D,12D_A_10_M_2,1005,ENCSR662TPD,ENCLB280PFQ,ENCFF301IDE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12E,12E_A_10_M_2,1005,ENCSR662TPD,ENCLB163YGU,ENCFF234BFH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,standard,12k,12F,12F_A_10_M_2,1005,ENCSR662TPD,ENCLB813VWF,ENCFF926WSU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12A,12A_A_14_F_1,1005,ENCSR998YMP,ENCLB905XCB,ENCFF031YGU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12B,12B_A_14_F_1,1005,ENCSR998YMP,ENCLB298FCI,ENCFF365HIQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12C,12C_A_14_F_1,1005,ENCSR998YMP,ENCLB970APW,ENCFF478TEX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12D,12D_A_14_F_1,1005,ENCSR998YMP,ENCLB400DOF,ENCFF986PRT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12E,12E_A_14_F_1,1005,ENCSR998YMP,ENCLB354MNN,ENCFF638BKT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,12k,12F,12F_A_14_F_1,1005,ENCSR998YMP,ENCLB779JXT,ENCFF808CIA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12A,12A_A_14_F_2,1005,ENCSR998YMP,ENCLB602JIF,ENCFF787CZN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12B,12B_A_14_F_2,1005,ENCSR998YMP,ENCLB284ONO,ENCFF857GDL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12C,12C_A_14_F_2,1005,ENCSR998YMP,ENCLB836SOT,ENCFF275CXZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12D,12D_A_14_F_2,1005,ENCSR998YMP,ENCLB164PSU,ENCFF950VLI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12E,12E_A_14_F_2,1005,ENCSR998YMP,ENCLB981UAK,ENCFF421KZI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,12k,12F,12F_A_14_F_2,1005,ENCSR998YMP,ENCLB499QNZ,ENCFF549PRG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12A,12A_A_14_M_1,1005,ENCSR776XMP,ENCLB130AKP,ENCFF965KRF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12B,12B_A_14_M_1,1005,ENCSR776XMP,ENCLB582QIJ,ENCFF080AMG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12C,12C_A_14_M_1,1005,ENCSR776XMP,ENCLB387PJA,ENCFF180SHN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12D,12D_A_14_M_1,1005,ENCSR776XMP,ENCLB303MNI,ENCFF178XCT,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12E,12E_A_14_M_1,1005,ENCSR776XMP,ENCLB569RHX,ENCFF467FQG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,12k,12F,12F_A_14_M_1,1005,ENCSR776XMP,ENCLB381YCN,ENCFF372EHS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12A,12A_A_14_M_2,1005,ENCSR776XMP,ENCLB304LYP,ENCFF678MGJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12B,12B_A_14_M_2,1005,ENCSR776XMP,ENCLB316LND,ENCFF860OHU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12C,12C_A_14_M_2,1005,ENCSR776XMP,ENCLB478RVS,ENCFF330VWB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12D,12D_A_14_M_2,1005,ENCSR776XMP,ENCLB526GYF,ENCFF670QES,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12E,12E_A_14_M_2,1005,ENCSR776XMP,ENCLB953KJO,ENCFF698PZY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,12k,12F,12F_A_14_M_2,1005,ENCSR776XMP,ENCLB810EEA,ENCFF539GEP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12A,12A_A_18m_F_1,1005,ENCSR899EKD,ENCLB403VFD,ENCFF313UFC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12B,12B_A_18m_F_1,1005,ENCSR899EKD,ENCLB630LNK,ENCFF715VIB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12C,12C_A_18m_F_1,1005,ENCSR899EKD,ENCLB738TZN,ENCFF860HRU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12D,12D_A_18m_F_1,1005,ENCSR899EKD,ENCLB673VPB,ENCFF261JNQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12E,12E_A_18m_F_1,1005,ENCSR899EKD,ENCLB316RGQ,ENCFF387HZP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,standard,12k,12F,12F_A_18m_F_1,1005,ENCSR899EKD,ENCLB894PHB,ENCFF276WTZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12A,12A_A_18m_F_2,1005,ENCSR899EKD,ENCLB489MPA,ENCFF225JMP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12B,12B_A_18m_F_2,1005,ENCSR899EKD,ENCLB059ZLG,ENCFF183GLN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12C,12C_A_18m_F_2,1005,ENCSR899EKD,ENCLB168DYN,ENCFF908IFO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12D,12D_A_18m_F_2,1005,ENCSR899EKD,ENCLB667KEQ,ENCFF709KUA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12E,12E_A_18m_F_2,1005,ENCSR899EKD,ENCLB178JZF,ENCFF302VOP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,standard,12k,12F,12F_A_18m_F_2,1005,ENCSR899EKD,ENCLB990FLR,ENCFF061AKZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12A,12A_A_18m_M_1,1005,ENCSR526LFP,ENCLB961ECB,ENCFF576HRG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12B,12B_A_18m_M_1,1005,ENCSR526LFP,ENCLB206ZOP,ENCFF788DMV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12C,12C_A_18m_M_1,1005,ENCSR526LFP,ENCLB303KCS,ENCFF906GIC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12D,12D_A_18m_M_1,1005,ENCSR526LFP,ENCLB067HYZ,ENCFF655RKF,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12E,12E_A_18m_M_1,1005,ENCSR526LFP,ENCLB953KNE,ENCFF494FPC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,standard,12k,12F,12F_A_18m_M_1,1005,ENCSR526LFP,ENCLB000OHC,ENCFF709WRM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12A,12A_A_18m_M_2,1005,ENCSR526LFP,ENCLB725KVP,ENCFF842MTS,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12B,12B_A_18m_M_2,1005,ENCSR526LFP,ENCLB880EAV,ENCFF713HPN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12C,12C_A_18m_M_2,1005,ENCSR526LFP,ENCLB475VRM,ENCFF637IPE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12D,12D_A_18m_M_2,1005,ENCSR526LFP,ENCLB226WIJ,ENCFF518GCB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12E,12E_A_18m_M_2,1005,ENCSR526LFP,ENCLB722YHO,ENCFF397UHI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,standard,12k,12F,12F_A_18m_M_2,1005,ENCSR526LFP,ENCLB575FBD,ENCFF288JOC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12A,12A_A_25_F_1,1005,ENCSR396XOO,ENCLB296HVX,ENCFF039JAA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12B,12B_A_25_F_1,1005,ENCSR396XOO,ENCLB319KVG,ENCFF260UEM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12C,12C_A_25_F_1,1005,ENCSR396XOO,ENCLB645XEO,ENCFF551IUK,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12D,12D_A_25_F_1,1005,ENCSR396XOO,ENCLB795GOF,ENCFF859XZR,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12E,12E_A_25_F_1,1005,ENCSR396XOO,ENCLB112MKY,ENCFF858DUV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,standard,12k,12F,12F_A_25_F_1,1005,ENCSR396XOO,ENCLB063SYI,ENCFF378ARE,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12A,12A_A_25_F_2,1005,ENCSR396XOO,ENCLB319EVD,ENCFF558HXA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12B,12B_A_25_F_2,1005,ENCSR396XOO,ENCLB216BZE,ENCFF762FHY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12C,12C_A_25_F_2,1005,ENCSR396XOO,ENCLB738LIQ,ENCFF677VJB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12D,12D_A_25_F_2,1005,ENCSR396XOO,ENCLB181AJI,ENCFF385PMX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12E,12E_A_25_F_2,1005,ENCSR396XOO,ENCLB759DXI,ENCFF222PHL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,standard,12k,12F,12F_A_25_F_2,1005,ENCSR396XOO,ENCLB416TFO,ENCFF772MAA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12A,12A_A_25_M_1,1005,ENCSR711LRI,ENCLB759NZX,ENCFF810TYA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12B,12B_A_25_M_1,1005,ENCSR711LRI,ENCLB545UDF,ENCFF472BUC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12C,12C_A_25_M_1,1005,ENCSR711LRI,ENCLB011OHU,ENCFF247UGU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12D,12D_A_25_M_1,1005,ENCSR711LRI,ENCLB138YLC,ENCFF774KCX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12E,12E_A_25_M_1,1005,ENCSR711LRI,ENCLB935HER,ENCFF819WCU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,standard,12k,12F,12F_A_25_M_1,1005,ENCSR711LRI,ENCLB479BPE,ENCFF240IUV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12A,12A_A_25_M_2,1005,ENCSR711LRI,ENCLB197VCG,ENCFF395FEH,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12B,12B_A_25_M_2,1005,ENCSR711LRI,ENCLB797FSY,ENCFF756LAG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12C,12C_A_25_M_2,1005,ENCSR711LRI,ENCLB410WLA,ENCFF757VZI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12D,12D_A_25_M_2,1005,ENCSR711LRI,ENCLB881GWL,ENCFF352JPO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12E,12E_A_25_M_2,1005,ENCSR711LRI,ENCLB218CQN,ENCFF291EKD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,standard,12k,12F,12F_A_25_M_2,1005,ENCSR711LRI,ENCLB299GCX,ENCFF299LUD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12A,12A_A_2m_F_1,1005,ENCSR097PDV,ENCLB163FPQ,ENCFF047SNQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12B,12B_A_2m_F_1,1005,ENCSR097PDV,ENCLB104HYR,ENCFF348GYC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12C,12C_A_2m_F_1,1005,ENCSR097PDV,ENCLB869KHJ,ENCFF862PPB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12D,12D_A_2m_F_1,1005,ENCSR097PDV,ENCLB031LFV,ENCFF463WVM,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12E,12E_A_2m_F_1,1005,ENCSR097PDV,ENCLB651SCV,ENCFF309ATC,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,12k,12F,12F_A_2m_F_1,1005,ENCSR097PDV,ENCLB713WSU,ENCFF528THN,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12A,12A_A_2m_F_2,1005,ENCSR097PDV,ENCLB906FKB,ENCFF189IGV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12B,12B_A_2m_F_2,1005,ENCSR097PDV,ENCLB438YGP,ENCFF497NXB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12C,12C_A_2m_F_2,1005,ENCSR097PDV,ENCLB602PKF,ENCFF245NPQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12D,12D_A_2m_F_2,1005,ENCSR097PDV,ENCLB764MSD,ENCFF614ZEB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12E,12E_A_2m_F_2,1005,ENCSR097PDV,ENCLB587BSM,ENCFF917TZL,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,12k,12F,12F_A_2m_F_2,1005,ENCSR097PDV,ENCLB708WAM,ENCFF511CPY,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12A,12A_A_2m_M_1,1005,ENCSR693KAV,ENCLB365EOC,ENCFF420OAZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12B,12B_A_2m_M_1,1005,ENCSR693KAV,ENCLB692WDP,ENCFF483AIQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12C,12C_A_2m_M_1,1005,ENCSR693KAV,ENCLB577ITS,ENCFF416OIZ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12D,12D_A_2m_M_1,1005,ENCSR693KAV,ENCLB560TPK,ENCFF750AYU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12E,12E_A_2m_M_1,1005,ENCSR693KAV,ENCLB272YAC,ENCFF589ASU,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,12k,12F,12F_A_2m_M_1,1005,ENCSR693KAV,ENCLB234RMO,ENCFF547KOI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12A,12A_A_2m_M_2,1005,ENCSR693KAV,ENCLB658TPR,ENCFF155USI,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12B,12B_A_2m_M_2,1005,ENCSR693KAV,ENCLB909UJV,ENCFF181ZKX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12C,12C_A_2m_M_2,1005,ENCSR693KAV,ENCLB793SOW,ENCFF174VVO,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12D,12D_A_2m_M_2,1005,ENCSR693KAV,ENCLB417HUV,ENCFF462OVJ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12E,12E_A_2m_M_2,1005,ENCSR693KAV,ENCLB257AMT,ENCFF450RMD,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,12k,12F,12F_A_2m_M_2,1005,ENCSR693KAV,ENCLB148QHM,ENCFF048BWV,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12A,12A_A_36_F_1,1005,ENCSR826EHD,ENCLB126YTW,ENCFF466QER,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12B,12B_A_36_F_1,1005,ENCSR826EHD,ENCLB137VPK,ENCFF494VVA,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12C,12C_A_36_F_1,1005,ENCSR826EHD,ENCLB090BPN,ENCFF759REB,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12D,12D_A_36_F_1,1005,ENCSR826EHD,ENCLB507NWH,ENCFF457DMQ,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12E,12E_A_36_F_1,1005,ENCSR826EHD,ENCLB053UIV,ENCFF037YMP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,standard,12k,12F,12F_A_36_F_1,1005,ENCSR826EHD,ENCLB679SBN,ENCFF662CPG,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12A,12A_A_36_F_2,1005,ENCSR826EHD,ENCLB769QHP,ENCFF590AER,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12B,12B_A_36_F_2,1005,ENCSR826EHD,ENCLB116VXR,ENCFF582EFP,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12C,12C_A_36_F_2,1005,ENCSR826EHD,ENCLB812KFX,ENCFF888VVX,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12D,12D_A_36_F_2,1005,ENCSR826EHD,ENCLB303OOK,ENCFF479CRW,500,30000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,standard,12k,12E,12E_A_36_F_2,1005,ENCSR826EHD,ENCLB924BDS,ENCFF676QFM,500,30000,500,0.2,0.5
